id,title,type,original_type,refer,knowledge_points,source,title_length
Q001,"In a distributed banking system, the server keeps the transaction records of credit cards and provides two services. The first service is for customers to query the available credit limit (a floatingpoint value) by specifying the credit card number (an integer). The second service is to keep customers informed of their new transactions through callback. To use this service, a customer must register his interest by specifying the credit card number. A callback from the server includes the transaction description (a string) and the amount used (a floatingpoint value). Design Java remote interfaces for the server and the customer. (6 marks)",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI']",8.pdf,645
Q002,Let A and B be two different idempotent operations on the same object. Let C be a compound operation that first executes A and then executes B. Analyze whether operation C is idempotent and briefly explain your answer. (6 marks),Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental characteristics of DS'],8.pdf,228
Q003,"Briefly explain onecopy update semantics and session update semantics. What update semantics do the local UNIX file system, the Network File System and the Andrew File System implement respectively? (5 marks)",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",8.pdf,208
Q004,"In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N88 for the location information of file K71 (the number behind K denotes the key identifier of the file on the identifier circle)? (5 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],8.pdf,473
Q005,"In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind N denote the node identifiers on the identifier circle. (b) When a new node joins the system, it changes the route of the query in Q2(a). What are the possible node identifiers of this new node? (5 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],8.pdf,432
Q006,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (a) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting? (4 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],8.pdf,1013
Q007,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (b) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p₁s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (4 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],8.pdf,984
Q008,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (c) Suppose that the drift rate of each clock is bounded by 10 ms per second (the drift rate of a clock is defined as the change in the offset between the clock and a perfect reference clock per unit of time measured by the perfect reference clock). If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],8.pdf,1185
Q009,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (d) List all the events that happenedbefore event e in causal ordering. (2 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],8.pdf,836
Q010,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (The figure shows events a,h on p3; b,c,f,g on p2; d,e on p1. Messages: ab, cd, ef, gh. Timings: d to e is 600ms on p1s clock; c to f is 800ms on p2s clock; c to g is 1414ms on p2s clock; f to g is 300ms on p1s clock; a to h is 1584ms on p3s clock.) (e) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that p₁ initiates the ChandyandLamport algorithm immediately after event e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process immediately after event x occurs (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs). (6 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",8.pdf,1351
Q011,"Figure Q4 shows the execution of two processes p₁ and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. (The figure shows p1 with states x19, x19, x?, x?, x17, x17, x17 and p2 with states y6, y6, y12, y12, y8, y8, y10, y10. Messages are sent between events.) (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p₁ and j events at process p2. (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",8.pdf,698
Q012,"Figure Q4 shows the execution of two processes p₁ and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. (The figure shows p1 with states x19, x19, x?, x?, x17, x17, x17 and p2 with states y6, y6, y12, y12, y8, y8, y10, y10. Messages are sent between events.) (b) If it can be inferred that the constraint x  y  6 must be broken in the execution, what is the possible range of xs values in the two states shown by ""x  ?"" (note that these two states have the same x value)? (7 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",8.pdf,753
Q013,"Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with the appropriate pseudocode. Each box other than D is for one statement, and D is a logical condition. On initialization state : RELEASED; To enter the critical section state : WANTED; [BOX A] T : the timestamp of the request by the logical clock; [BOX B] [BOX C] On receipt of a request (Tj, pj) from another process pj (j  i) if [BOX D] then [BOX E] else queue request from pj without replying; end if To exit the critical section state : RELEASED; [BOX F] (6 marks)",Fill in Blank,Fill in Blank,Chapter 7 Time and Global States,['Uncategorized'],8.pdf,724
Q014,"In the Ricart and Agrawala algorithm, suppose the statement T : the timestamp of the request by the logical clock is changed to T : i (i.e., the timestamp is set to the process index). Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (7 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,['Uncategorized'],8.pdf,332
Q015,"Suppose that we would like to modify the Ricart and Agrawala algorithm to coordinate p1, p2, ..., pn for accessing a shared resource that can be accessed by at most two processes at any time. Which box (or boxes) in Q5(a) need to be amended and how it (or they) should be amended to achieve this goal? (5 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,['Uncategorized'],8.pdf,311
Q016,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. Table Q6:  Program order  Client A  Client B      write(x  x  6)  read(x)  c    read(x)  a  write(x  x  400)    write(x  x  50)  read(x)  d    read(x)  b   (a) If a  406 and the object service is sequentially consistent, what are the possible combinations of the values c and d? (4 marks)",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,694
Q017,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. Table Q6:  Program order  Client A  Client B      write(x  x  6)  read(x)  c    read(x)  a  write(x  x  400)    write(x  x  50)  read(x)  d    read(x)  b   (b) If the object service is FIFO consistent, what are the possible combinations of the values a and b? (4 marks)",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,675
Q018,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. Table Q6:  Program order  Client A  Client B      write(x  x  6)  read(x)  c    read(x)  a  write(x  x  400)    write(x  x  50)  read(x)  d    read(x)  b   (c) If a  400 and the object service is monotonicread consistent, what are the possible values of b? (4 marks)",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,672
Q019,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. Table Q6:  Program order  Client A  Client B      write(x  x  6)  read(x)  c    read(x)  a  write(x  x  400)    write(x  x  50)  read(x)  d    read(x)  b   (d) If a  406 and the object service is readyourwrites consistent, what are the possible values of b? (4 marks)",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,673
Q020,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. Table Q6:  Program order  Client A  Client B      write(x  x  6)  read(x)  c    read(x)  a  write(x  x  400)    write(x  x  50)  read(x)  d    read(x)  b   (e) If a  400 and the object service is both monotonicwrite consistent and writesfollowreads consistent, what are the possible values of b? (4 marks)",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,711
Q021,"(a) An information server maintains the COVID19 situation reports of different countries and updates them daily. The server would like to keep interested clients informed of the latest report through callback. Design a Java remote interface for the clients to allow the server to perform callback, and a Java remote interface for the server to allow the clients to register and deregister their interests in the report of a specified country. Assume that the reports and country names are represented by strings. (5 marks) (b) A client makes remote method invocations to a server. The client takes 3 milliseconds to compute the arguments for each request, and the server takes 20 milliseconds to process each request. The local operating system processing time for each send or receive operation is 1 millisecond, and the network propagation time to transmit each request or reply message is 4 milliseconds. Marshalling or unmarshalling takes 1 millisecond per message. The server runs two threads on two processors, and the client runs two threads on a single processor. Assume that contextswitching times are negligible. Calculate the time taken by the client to generate and return from two remote method invocation requests. (6 marks)",Essay,Essay,Chapter 3 Distributed Objects & Remote Invocation,"['An example of Java RMI', 'Client-Server Communication', 'External Data Representation & Marshalling']",6.pdf,1238
Q022,"A client C in NTU would like to resolve a name www.ox.ac.uk"". List the sequence of all messages sent among C and the relevant name servers in the name resolution process, assuming name mappings are not cached at nonauthoritative name servers initially. In your answer, use the format ""NS(ddd) to indicate the authoritative name server for the domain ddd"", and use the format C NS(ddd) to indicate a message sent by C to NS(ddd). (6 marks)",Short Answer,Short Answer,Chapter 6 Name Services,['Domain Name System'],6.pdf,438
Q023,"A distributed file system consists of a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q3 shows the operations performed by clients A and B on file f, where o, r, u and c represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the server and clients are negligible. [Image of Figure Q3 is present] For each case below, determine the time instants when A needs to contact the server, and determine which read operations of A return the uptodate file. (a) The system is an NFS. The clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a biodaemon process to send its updates to the server right after making each update. (6 marks) (b) The system is an AFS that implements session update semantics. (6 marks)",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",6.pdf,1026
Q024,"In a peertopeer file sharing system based on Chord, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 9 nodes in the system: N1, N8, N21, N30, N36, N51, N91, N97 and N116, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N51 for the location information of file K34 (the number behind K denotes the key identifier of the file on the identifier circle)? (5 marks) (b) When a new node joins the system, nodes N8 and N30 both need to update their finger tables. What are the possible node identifiers of this new node? (Note: besides N8 and N30, there may be other nodes which also need to update their finger tables due to the new node.) (6 marks)",Short Answer,Short Answer,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],6.pdf,743
Q025,"Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. [Image of Figure Q5 is present] (a) Suppose that the transmission delay of each message is at least 50 ms. Clock drifts are negligible. Let tx be the local clock reading at event x in the process where x occurs (for example, ta is the local clock reading of p1 at event a, and tb is the local clock reading of p3 at event b). Assume that p1 knows the clock readings ta and tb, and also knows that tb  ta  1000 ms, tc  tb  100 ms, te  tc  500 ms, tg  te  100 ms, th  td  300 ms. (i) If p1 would like to synchronize its local clock with p3s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (5 marks) (ii) If p1 would like to synchronize its local clock with p2s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (5 marks) (b) Timestamp all the events in Figure Q5 using the vector clocks. (5 marks) (c) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Process p3 initiates the ChandyandLamport algorithm immediately after event c to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, use S1, S2 and S3 to represent the initial states of processes p1, p2 and p3 respectively, and use Sx to represent the state of the process (where event x occurs) immediately after event xs occurrence (for example, Sa is the state of process p1 immediately after event a occurs, and Sb is the state of process p3 immediately after event b occurs). (5 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",6.pdf,1953
Q026,"A replicated shared object service hosts an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x, 2) denotes a write operation setting the value of x to 2. The operations performed by each client are listed in the order that they are performed by the client. [Image of Table Q6 is present] (a) If the object service is sequentially consistent, what are the possible combinations of the values a, b and c? (5 marks) (b) If the object service is FIFO consistent, what are the possible combinations of the values a and b? (5 marks) (c) Suppose that there are four replicas of object x. (i) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under passive replication? (2 marks) (ii) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under active replication? (2 marks) (iii) Let R be the minimum allowable number of replicas in a read quorum and W be the minimum allowable number of replicas in a write quorum. List all possible combinations of R and W permitted by Giffords quorum consensus scheme to handle network partitions. (3 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],6.pdf,1282
Q027,"Three processes p1, p2 and p3 are running in an asynchronous distributed system. The vector clock mechanism is used to timestamp the events that occur in these processes, including the events of sending messages, receiving messages and the internal actions carried out by the processes. Suppose that two events a and b have timestamps (10, 20, 30) and (40, 50, 60) respectively. (a) What is the maximum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario. (5 marks) (b) What is the minimum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario. (5 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],6.pdf,786
Q028,"(a) In an asynchronous distributed system, two processes A and B are connected by a bidirectional communication channel. Each process wants to select and take one of two actions x and y. Assume that the processes suffer from crash failures, but the communication channel is reliable and does not fail. Can a protocol be devised for the two processes to agree upon the action to take? Briefly explain your answer. (4 marks) (b) In the RicartandAgrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process maintains a monotonically increasing counter to record how many requests it has made, and uses the counter readings to timestamp its requests. With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (9 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,"['What are the issues and problems in DS?', 'Fundamental models']",6.pdf,888
Q029,"In a distributed banking system, the server keeps the transaction records of credit cards and provides two services. The first service is for customers to query the available credit limit (a floatingpoint value) by specifying the credit card number (an integer). The second service is to keep customers informed of their new transactions through callback. To use this service, a customer must register his interest by specifying the credit card number. A callback from the server includes the transaction description (a string) and the amount used (a floatingpoint value). Design Java remote interfaces for the server and the customer.",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI']",7.pdf,635
Q030,Let A and B be two different idempotent operations on the same object. Let C be a compound operation that first executes A and then executes B. Analyze whether operation C is idempotent and briefly explain your answer.,Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,"['Fundamental characteristics of DS', 'What are the issues and problems in DS?']",7.pdf,218
Q031,"Briefly explain onecopy update semantics and session update semantics. What update semantics do the local UNIX file system, the Network File System and the Andrew File System implement respectively?",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",7.pdf,198
Q032,"In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N88 for the location information of file K71 (the number behind K denotes the key identifier of the file on the identifier circle)?",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],7.pdf,463
Q033,"Following up on the Chord system described previously, when a new node joins the system, it changes the route of the query in Q2(a). What are the possible node identifiers of this new node?",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],7.pdf,189
Q034,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. (a) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting?",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],7.pdf,753
Q035,"Using the same setup as the previous question (Figure Q3), assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p1s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting?",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],7.pdf,274
Q036,"Using the same setup as the previous question (Figure Q3), suppose that the drift rate of each clock is bounded by 10 ms per second (the drift rate of a clock is defined as the change in the offset between the clock and a perfect reference clock per unit of time measured by the perfect reference clock). If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting?",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],7.pdf,475
Q037,"Using the setup from Figure Q3, list all the events that happenedbefore event e in causal ordering.",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],7.pdf,99
Q038,"Using the setup from Figure Q3, assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that p1 initiates the ChandyandLamport algorithm immediately after event e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process immediately after event x occurs (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs).",Short Answer,Short Answer,Chapter 7 Time and Global States,['Global States'],7.pdf,614
