id,title,type,original_type,refer,knowledge_points,source,title_length
Q039,"Figure Q4 shows the execution of two processes p1 and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p1 contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p1 and j events at process p2.",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",7.pdf,533
Q040,"Based on the execution shown in Figure Q4, if it can be inferred that the constraint x  y  6 must be broken in the execution, what is the possible range of xs values in the two states shown by ""x  ?"" (note that these two states have the same x value)?",Calculation,Calculation,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",7.pdf,251
Q041,"Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with the appropriate pseudocode. Each box other than D is for one statement, and D is a logical condition. On initialization state : RELEASED; To enter the critical section state : WANTED; [BOX A] T : the timestamp of the request by the logical clock; [BOX B] [BOX C] On receipt of a request (Tj, pj) from another process pj (j  i) if [BOX D] then [BOX E] else queue request from pj without replying; end if To exit the critical section state : RELEASED; [BOX F]",Fill in Blank,Fill in Blank,Chapter 1 Characterization of Distributed Systems & System Models,['What are the issues and problems in DS?'],7.pdf,714
Q042,"In the Ricart and Agrawala algorithm, suppose the statement T : the timestamp of the request by the logical clock is changed to T : i (i.e., the timestamp is set to the process index). Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer.",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['What are the issues and problems in DS?'],7.pdf,322
Q043,"Suppose that we would like to modify the Ricart and Agrawala algorithm to coordinate p1, p2, ..., pn for accessing a shared resource that can be accessed by at most two processes at any time. Which box (or boxes) in Q5(a) need to be amended and how it (or they) should be amended to achieve this goal?",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['What are the issues and problems in DS?'],7.pdf,301
Q044,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. Client A performs: write(x  x  6), read(x)  a, write(x  x  50), read(x)  b. Client B performs: read(x)  c, write(x  x  400), read(x)  d. (a) If a  406 and the object service is sequentially consistent, what are the possible combinations of the values c and d?",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],7.pdf,665
Q045,"Using the setup from question 6, if the object service is FIFO consistent, what are the possible combinations of the values a and b?",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],7.pdf,132
Q046,"Using the setup from question 6, if a  400 and the object service is monotonicread consistent, what are the possible values of b?",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],7.pdf,129
Q047,"Using the setup from question 6, if a  406 and the object service is readyourwrites consistent, what are the possible values of b?",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],7.pdf,130
Q048,"Using the setup from question 6, if a  400 and the object service is both monotonicwrite consistent and writesfollowreads consistent, what are the possible values of b?",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],7.pdf,168
Q049,"1. (a) An information server maintains the COVID19 situation reports of different countries and updates them daily. The server would like to keep interested clients informed of the latest report through callback. Design a Java remote interface for the clients to allow the server to perform callback, and a Java remote interface for the server to allow the clients to register and deregister their interests in the report of a specified country. Assume that the reports and country names are represented by strings. (5 marks)",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['An example of Java RMI', 'Object-based model: remote method invocation (RMI)', 'Distributed object model']",5.pdf,525
Q050,"1. (b) A client makes remote method invocations to a server. The client takes 3 milliseconds to compute the arguments for each request, and the server takes 20 milliseconds to process each request. The local operating system processing time for each send or receive operation is 1 millisecond, and the network propagation time to transmit each request or reply message is 4 milliseconds. Marshalling or unmarshalling takes 1 millisecond per message. The server runs two threads on two processors, and the client runs two threads on a single processor. Assume that contextswitching times are negligible. Calculate the time taken by the client to generate and return from two remote method invocation requests. (6 marks)",Calculation,Calculation,Chapter 2 Interprocess Communication,"['External Data Representation & Marshalling', 'Client-Server Communication']",5.pdf,718
Q051,"2. A client C in NTU would like to resolve a name www.ox.ac.uk"". List the sequence of all messages sent among C and the relevant name servers in the name resolution process, assuming name mappings are not cached at nonauthoritative name servers initially. In your answer, use the format ""NS(ddd) to indicate the authoritative name server for the domain ddd, and use the format C NS(ddd) to indicate a message sent by C to NS(ddd). (6 marks)",Short Answer,Short Answer,Chapter 6 Name Services,"['Domain Name System', 'Names and Name Services']",5.pdf,440
Q052,"3. A distributed file system consists of a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q3 shows the operations performed by clients A and B on file f, where o, r, u and c represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the server and clients are negligible. [Image Description: Figure Q3 shows a timeline from 0 to 15 seconds. Client A performs operations: O, r1 at t1; r2 at t3; r3 at t5; r4 at t7; r5, c at t9; O, r6 at t11; r7, c at t13; O, r8, c at t15. Client B performs operations: O, u1 at t2; u2 at t4; u3, c at t12.] For each case below, determine the time instants when A needs to contact the server, and determine which read operations of A return the uptodate file. (a) The system is an NFS. The clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a biodaemon process to send its updates to the server right after making each update. (6 marks)",Short Answer,Short Answer,Chapter 4 Distributed File Systems,['Sun Network File System'],5.pdf,1188
Q053,"3. A distributed file system consists of a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q3 shows the operations performed by clients A and B on file f, where o, r, u and c represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the server and clients are negligible. [Image Description: Figure Q3 shows a timeline from 0 to 15 seconds. Client A performs operations: O, r1 at t1; r2 at t3; r3 at t5; r4 at t7; r5, c at t9; O, r6 at t11; r7, c at t13; O, r8, c at t15. Client B performs operations: O, u1 at t2; u2 at t4; u3, c at t12.] For each case below, determine the time instants when A needs to contact the server, and determine which read operations of A return the uptodate file. (b) The system is an AFS that implements session update semantics. (6 marks)",Short Answer,Short Answer,Chapter 4 Distributed File Systems,['Andrew and Coda File Systems'],5.pdf,1044
Q054,"4. In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 9 nodes in the system: N1, N8, N21, N30, N36, N51, N91, N97 and N116, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N51 for the location information of file K34 (the number behind K denotes the key identifier of the file on the identifier circle)? (5 marks)",Short Answer,Short Answer,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],5.pdf,471
Q055,"4. In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 9 nodes in the system: N1, N8, N21, N30, N36, N51, N91, N97 and N116, where the numbers behind N denote the node identifiers on the identifier circle. (b) When a new node joins the system, nodes N8 and N30 both need to update their finger tables. What are the possible node identifiers of this new node? (Note: besides N8 and N30, there may be other nodes which also need to update their finger tables due to the new node.) (6 marks)",Short Answer,Short Answer,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],5.pdf,564
Q056,"5. Three processes p1, p2 and p3 are running on three different computers in an asynchronous distributed system. Figure Q5 shows the messages m1 to m4 sent between the processes, where events a to h represent the sending and receiving events of these messages. [Image Description: Figure Q5 is a spacetime diagram with three processes p1, p2, p3. Event a on p1 sends message m1 to p2, received at event d. Event b on p3 sends m2 to p2, received at c. Event e on p2 sends m3 to p3, received at f. Event g on p3 sends m4 to p1, received at h.] (a) Suppose that the transmission delay of each message is at least 50 ms. Clock drifts are negligible. Let tx be the local clock reading at event x in the process where x occurs (for example, ta is the local clock reading of p1 at event a, and tb is the local clock reading of p3 at event b). Assume that p1 knows the clock readings te and tg, and also knows that th  ta  1000 ms, tc  tb  100 ms, tf  tc  500 ms, tg  tf  100 ms, te  td  300 ms. (i) If p1 would like to synchronize its local clock with p3s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (5 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],5.pdf,1203
Q057,"5. (a) [Context: Based on Figure Q5 and the information from Question 5(a)(i).] (ii) If p1 would like to synchronize its local clock with p2s clock as accurately as possible, what time should p1 set its clock to when it receives message m4 from p3? What is the accuracy of this setting? (5 marks)",Calculation,Calculation,Chapter 7 Time and Global States,['Synchronizing Physical Clocks'],5.pdf,296
Q058,"5. (b) Timestamp all the events in Figure Q5 using the vector clocks. (5 marks) [Context: Based on Figure Q5, a spacetime diagram with processes p1, p2, p3 and messages m1m4.]",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],5.pdf,175
Q059,"5. (c) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Process p3 initiates the ChandyandLamport algorithm immediately after event c to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, use S1, S2 and S3 to represent the initial states of processes p1, p2 and p3 respectively, and use Sx to represent the state of the process (where event x occurs) immediately after event xs occurrence (for example, Sa is the state of process p1 immediately after event a occurs, and Sb is the state of process p3 immediately after event b occurs). (5 marks) [Context: Based on Figure Q5, a spacetime diagram with processes p1, p2, p3 and messages m1m4.]",Short Answer,Short Answer,Chapter 7 Time and Global States,['Global States'],5.pdf,806
Q060,"6. A replicated shared object service hosts an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x, 2) denotes a write operation setting the value of x to 2. The operations performed by each client are listed in the order that they are performed by the client. [Image Description: Table Q6 shows program order for Client A (write(x, 1), read(x)  a, write(x, 2), read(x)  b) and Client B (write(x, 3), read(x)  1, write(x, 4), read(x)  c).] (a) If the object service is sequentially consistent, what are the possible combinations of the values a, b and c? (5 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,703
Q061,"6. [Context: Same setup and table as Q6(a) where Client A performs write(x, 1), read(x)  a, write(x, 2), read(x)  b and Client B performs write(x, 3), read(x)  1, write(x, 4), read(x)  c.] (b) If the object service is FIFO consistent, what are the possible combinations of the values a and b? (5 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,302
Q062,6. (c) Suppose that there are four replicas of object x. (i) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under passive replication? (2 marks),Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,202
Q063,6. (c) Suppose that there are four replicas of object x. (ii) What are the maximum numbers of crash failures and arbitrary failures that can be tolerated respectively under active replication? (2 marks),Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,202
Q064,6. (c) Suppose that there are four replicas of object x. (iii) Let R be the minimum allowable number of replicas in a read quorum and W be the minimum allowable number of replicas in a write quorum. List all possible combinations of R and W permitted by Giffords quorum consensus scheme to handle network partitions. (3 marks),Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,326
Q065,"7. Three processes p1, p2 and p3 are running in an asynchronous distributed system. The vector clock mechanism is used to timestamp the events that occur in these processes, including the events of sending messages, receiving messages and the internal actions carried out by the processes. Suppose that two events a and b have timestamps (10, 20, 30) and (40, 50, 60) respectively. (a) What is the maximum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario. (5 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],5.pdf,585
Q066,"7. Three processes p1, p2 and p3 are running in an asynchronous distributed system. The vector clock mechanism is used to timestamp the events that occur in these processes, including the events of sending messages, receiving messages and the internal actions carried out by the processes. Suppose that two events a and b have timestamps (10, 20, 30) and (40, 50, 60) respectively. (b) What is the minimum possible number of events x in the system satisfying both a  x and x  b in causal ordering? Briefly explain your answer and draw a diagram to illustrate such a scenario. (5 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],5.pdf,585
Q067,"8. (a) In an asynchronous distributed system, two processes A and B are connected by a bidirectional communication channel. Each process wants to select and take one of two actions x and y. Assume that the processes suffer from crash failures, but the communication channel is reliable and does not fail. Can a protocol be devised for the two processes to agree upon the action to take? Briefly explain your answer. (4 marks)",Essay,Essay,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,425
Q068,"8. (b) In the RicartandAgrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process maintains a monotonically increasing counter to record how many requests it has made, and uses the counter readings to timestamp its requests. With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (9 marks)",Essay,Essay,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],5.pdf,468
Q069,"In a distributed MRT information system, the server provides a method that allows the clients to query the fare between two specified stations. The server also provides an alert service to the clients through callback. When there is a service interruption for any MRT line, the alert service notifies interested clients of the line name. Assume that the station names and line names are represented by strings, and the fare is represented by a floatingpoint value. (i) Design a Java remote interface for the server to allow the clients to query the fares and to register their interests in the alert service. Design a Java remote interface for the clients to allow the server to perform callback. (ii) For each method defined in the above interfaces, briefly explain the parameter passing semantics of each parameter.",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI']",4.pdf,817
Q070,"To resolve a name requested by a client C, four name servers are involved in the order of S1, S2, S3, S4. Suppose that only unicast is used in the name resolution. For each navigation type below, list the sequence of all messages sent among C, S1, S2, S3, S4 in the name resolution process (use the format C  S₁ to indicate a message sent by C to S1).  Iterative clientcontrolled navigation  Nonrecursive servercontrolled navigation  Recursive servercontrolled navigation",Short Answer,Short Answer,Chapter 6 Name Services,['Domain Name System'],4.pdf,471
Q071,"In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2⁷  1). There are 10 nodes in the system: N2, N7, N27, N40, N47, N60, N69, N75, N90 and N96, where the numbers behind N denote the node identifiers on the identifier circle. (a) Draw the finger table of node N90. (b) What is the route of a query issued by node N90 for the location information of file K53 (the number behind K denotes the key identifier of the file on the identifier circle)? (c) If a query issued by node N7 visits node N40 in its route, what are the possible key identifiers of the target file? (Note: The query may visit other nodes in addition to N40. N40 can be the node responsible for the target file or any other node visited in the query route.)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],4.pdf,781
Q072,"Figure Q3 shows three computers A, B and M in an asynchronous distributed system, each having a local clock. M sends requests to the other two computers and then they reply to M. Events a to h represent the sending and receiving events of these messages. Let tx denote the local clock reading at event x in the computer where x occurs (for example, ta is the local clock reading of A at event a, and tc is the local clock reading of M at event c). Assume that M knows the time readings (in units of millisecond) of all events: ta  200, tb  220, tc  110, td  150, te  180, tf 190, tg  30, and th  60. The clock drifts at the computers are negligible. [Image of Figure Q3 showing three processes A, M, B with message exchanges over time. Process M sends requests to A and B (events c, d, g) and receives replies (events e, f, h). Events a and b are internal to A. Timestamps are given for all events.] (a) M would like to estimate the local clock reading of A. What is Ms best estimate of As clock reading at the time when M receives As reply (i.e., at event f)? What is the accuracy of this estimate? (b) M would like to estimate the local clock reading of B. What is Ms best estimate of Bs clock reading at the time when M receives Bs reply (i.e., at event e)? What is the accuracy of this estimate? (c) Suppose that M acts as the master in the Berkeley algorithm for synchronizing the local clocks of M, A and B. M does not eliminate any clock in its calculation. Following Q3(a) and Q3(b), what time value should M set its clock to when it receives As reply (i.e., at event f )? What information should M send to A and B respectively for synchronizing their clocks? (d) Following Q3(c), after M, A and B perform synchronization using the Berkeley algorithm, what is the largest possible offset between As clock and Bs clock? (e) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that M initiates the ChandyandLamport algorithm sometime between events d and e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, use SA, SB, and SM to represent the initial states of A, B, and M respectively, and use Sx to represent the state of the computer (where event x occurs) immediately after event xs occurrence (for example, Sa is the state of A immediately after event a occurs, and Sc is the state of M immediately after event c occurs).",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Global States']",4.pdf,2433
Q073,"Figure Q4 shows the execution of two processes p₁ and p₂ in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p₂ contains a variable y. The values of x and y at different process states are shown in Figure Q4. [Image of Figure Q4 showing two processes p1 and p2 with events and message exchanges. The state of variable x in p1 and y in p2 is given at various points, with some values for y marked as ?.] (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p₁ and j events at process p₂. (b) If it can be inferred that the constraint x  y  6 must be broken in the execution, what is the possible range of ys values in the two states shown by ""y  ?"" (note that these two states have the same y value)?",Calculation,Calculation,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",4.pdf,936
Q074,"(a) We would like to modify the ringbased election algorithm to elect the process with the smallest identifier. Assume that each process has a unique identifier. Describe what a process with an identifier 6 needs to do when it receives an election message in each of the following cases: (i) The identifier in the received message is 5. (ii) The identifier in the received message is 6. (iii) The identifier in the received message is 7. (b) In the RicartandAgrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process timestamps its requests with its physical clock readings. Assume that the physical clocks always advance and do not fail. In the case that two requests have the same timestamps, the identifiers of the requesting processes are used to break ties (the process with smaller identifier is given higher priority). With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer.",Essay,Essay,Chapter 7 Time and Global States,"['Causal Ordering and Logical Clocks', 'Fundamental models']",4.pdf,1059
Q075,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x20) denotes a write operation increasing the value of x by 20. The operations of each client are listed in the order that they are performed by the client. [Table Q6 showing operations by Client A: write(x  x100), read(x)  a, read(x)  b; and Client B: write(x  x3), read(x)  c, write(x  x20), read(x)  d, in program order.] (a) If a  103 and the object service is sequentially consistent, what are the possible combinations of the values c and d? (b) If the object service is FIFO consistent, what are the possible combinations of the values c and d? (c) If b  123 and the object service provides both monotonicreads consistency and monotonicwrites consistency, what are the possible values of a? (d) If the object service is readyourwrites consistent, what are the possible combinations of the values c and d? (e) If c  103 and the object service is writesfollowreads consistent, what are the possible values of d?",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],4.pdf,1163
Q076,What are idempotent and nonidempotent operations?,Short Answer,Short Answer,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'Client-Server Communication']",1.pdf,49
Q077,"A distributed contact tracing system maintains the records of lessons attended by students. The server provides three services. The first service is for the students to register attendance by specifying the location of a lesson (a string), the time of the lesson (two integers, day and hour), and the student name (a string). The second service is for the manager to retrieve all the lessons attended by a particular student by specifying the student name. The third service is for the manager to query the names of all the students attending a particular lesson by specifying the location and the time of the lesson. Design a Java remote interface for the server.",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['An example of Java RMI', 'Architecture of RMI', 'Object-based model: remote method invocation (RMI)']",1.pdf,664
Q078,What is the purpose of mounting in a distributed file system? How is mounting carried out in the NFS?,Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Introduction']",1.pdf,101
Q079,"A distributed file system consists of three computers: a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q2 shows the operations performed by clients A and B on file f, where o, r, u and ""c"" represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the computers are negligible. For each of the following cases, determine which read operations of A return the file that incorporates the most recent update by B, and determine the time points when the file is transferred from the server to A. (i) The system is an NFS. The clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a biodaemon process to send its updates to the server right after making each update. (ii) The system is an AFS that implements session update semantics.",Calculation,Calculation,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",1.pdf,1047
Q080,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by respective clocks as shown in the figure. (a) If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting? (b) If p3 would like to synchronize its clock with p1s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (c) Timestamp all the events in Figure Q3 using the vector clocks. (d) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. p2 initiates the ChandyandLamport algorithm sometime between events c and f to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process where event x occurs immediately after event xs occurrence (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs).",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",1.pdf,1626
